Date,Interest,CPI,Close,PE,"Apple Quarterly Revenue
(Millions of US $)","Apple Quarterly Net Income
(Millions of US $)",Apple Quarterly Operating Margin,Apple Quarterly EPS
2018-06-12,0.017,251.989,48.06999969,9.333980523,61.137,13.822,0.267,0.68
2018-06-13,0.017,251.989,47.67499924,9.257281405,61.137,13.822,0.267,0.68
2018-06-14,0.019,251.989,47.70000076,9.26213607,61.137,13.822,0.267,0.68
2018-06-15,0.019,251.989,47.20999908,9.166990113,61.137,13.822,0.267,0.68
2018-06-18,0.019,251.989,47.18500137,9.162136189,61.137,13.822,0.267,0.68
2018-06-19,0.0191,251.989,46.42250061,9.014077788,61.137,13.822,0.267,0.68
2018-06-20,0.0192,251.989,46.625,9.053398058,61.137,13.822,0.267,0.68
2018-06-21,0.0192,251.989,46.36500168,9.002912947,61.137,13.822,0.267,0.68
2018-06-22,0.0192,251.989,46.22999954,8.97669894,61.137,13.822,0.267,0.68
2018-06-25,0.0192,251.989,45.54249954,8.843203795,61.137,13.822,0.267,0.68
2018-06-26,0.0192,251.989,46.10749817,8.952912266,61.137,13.822,0.267,0.68
2018-06-27,0.0191,251.989,46.04000092,8.939806003,61.137,13.822,0.267,0.68
2018-06-28,0.0191,251.989,46.375,9.004854369,61.137,13.822,0.267,0.68
2018-06-29,0.0191,251.989,46.27750015,8.98592236,53.265,11.519,0.266,0.59
2018-07-02,0.0191,252.006,46.79499817,9.086407411,53.265,11.519,0.266,0.59
2018-07-03,0.0191,252.006,45.97999954,8.928155251,53.265,11.519,0.266,0.59
2018-07-05,0.0191,252.006,46.34999847,8.999999704,53.265,11.519,0.266,0.59
2018-07-06,0.0191,252.006,46.99250031,9.124757341,53.265,11.519,0.266,0.59
2018-07-09,0.0191,252.006,47.64500046,9.2514564,53.265,11.519,0.266,0.59
2018-07-10,0.0191,252.006,47.58750153,9.240291558,53.265,11.519,0.266,0.59
2018-07-11,0.0191,252.006,46.97000122,9.120388587,53.265,11.519,0.266,0.59
2018-07-12,0.0191,252.006,47.75749969,9.273300912,53.265,11.519,0.266,0.59
2018-07-13,0.0191,252.006,47.83250046,9.287864167,53.265,11.519,0.266,0.59
2018-07-16,0.0191,252.006,47.72750092,9.267475906,53.265,11.519,0.266,0.59
2018-07-17,0.0191,252.006,47.86249924,9.293689172,53.265,11.519,0.266,0.59
2018-07-18,0.0191,252.006,47.59999847,9.24271815,53.265,11.519,0.266,0.59
2018-07-19,0.0191,252.006,47.97000122,9.314563344,53.265,11.519,0.266,0.59
2018-07-20,0.0191,252.006,47.86000061,9.293204002,53.265,11.519,0.266,0.59
2018-07-23,0.0191,252.006,47.90250015,9.30145634,53.265,11.519,0.266,0.59
2018-07-24,0.0191,252.006,48.25,9.368932039,53.265,11.519,0.266,0.59
2018-07-25,0.0191,252.006,48.70500183,9.457281909,53.265,11.519,0.266,0.59
2018-07-26,0.0191,252.006,48.55250168,9.427670229,53.265,11.519,0.266,0.59
2018-07-27,0.0191,252.006,47.74499893,9.270873579,53.265,11.519,0.266,0.59
2018-07-30,0.0191,252.006,47.47750092,9.218932217,53.265,11.519,0.266,0.59
2018-07-31,0.0191,252.006,47.57249832,9.237378315,53.265,11.519,0.266,0.59
2018-08-01,0.0191,252.146,50.375,9.781553398,53.265,11.519,0.266,0.59
2018-08-02,0.0191,252.146,51.84749985,10.0674757,53.265,11.519,0.266,0.59
2018-08-03,0.0191,252.146,51.99750137,10.09660221,53.265,11.519,0.266,0.59
2018-08-06,0.0191,252.146,52.26750183,10.14902948,53.265,11.519,0.266,0.59
2018-08-07,0.0191,252.146,51.77750015,10.05388352,53.265,11.519,0.266,0.59
2018-08-08,0.0191,252.146,51.8125,10.06067961,53.265,11.519,0.266,0.59
2018-08-09,0.0191,252.146,52.22000122,10.13980606,53.265,11.519,0.266,0.59
2018-08-10,0.0191,252.146,51.88249969,10.07427179,53.265,11.519,0.266,0.59
2018-08-13,0.0191,252.146,52.21749878,10.13932015,53.265,11.519,0.266,0.59
2018-08-14,0.0191,252.146,52.4375,10.18203883,53.265,11.519,0.266,0.59
2018-08-15,0.0191,252.146,52.56000137,10.20582551,53.265,11.519,0.266,0.59
2018-08-16,0.0192,252.146,53.33000183,10.35534016,53.265,11.519,0.266,0.59
2018-08-17,0.0192,252.146,54.39500046,10.56213601,53.265,11.519,0.266,0.59
2018-08-20,0.0192,252.146,53.86500168,10.45922363,53.265,11.519,0.266,0.59
2018-08-21,0.0192,252.146,53.75999832,10.43883463,53.265,11.519,0.266,0.59
2018-08-22,0.0192,252.146,53.76250076,10.43932054,53.265,11.519,0.266,0.59
2018-08-23,0.0192,252.146,53.87250137,10.46067988,53.265,11.519,0.266,0.59
2018-08-24,0.0192,252.146,54.04000092,10.49320406,53.265,11.519,0.266,0.59
2018-08-27,0.0192,252.146,54.48500061,10.57961177,53.265,11.519,0.266,0.59
2018-08-28,0.0192,252.146,54.92499924,10.6650484,53.265,11.519,0.266,0.59
2018-08-29,0.0192,252.146,55.74499893,10.82427164,53.265,11.519,0.266,0.59
2018-08-30,0.0192,252.146,56.25749969,10.92378635,53.265,11.519,0.266,0.59
2018-08-31,0.0191,252.146,56.90750122,11.05000024,53.265,11.519,0.266,0.59
2018-09-04,0.0192,252.439,57.09000015,11.08543692,53.265,11.519,0.266,0.59
2018-09-05,0.0192,252.439,56.71749878,11.01310656,53.265,11.519,0.266,0.59
2018-09-06,0.0192,252.439,55.77500153,10.83009738,53.265,11.519,0.266,0.59
2018-09-07,0.0192,252.439,55.32500076,10.74271859,53.265,11.519,0.266,0.59
2018-09-10,0.0192,252.439,54.58250046,10.59854378,53.265,11.519,0.266,0.59
2018-09-11,0.0192,252.439,55.96250153,10.86650515,53.265,11.519,0.266,0.59
2018-09-12,0.0192,252.439,55.26750183,10.73155375,53.265,11.519,0.266,0.59
2018-09-13,0.0192,252.439,56.60250092,10.99077688,53.265,11.519,0.266,0.59
2018-09-14,0.0192,252.439,55.95999908,10.86601924,53.265,11.519,0.266,0.59
2018-09-17,0.0192,252.439,54.47000122,10.57669927,53.265,11.519,0.266,0.59
2018-09-18,0.0192,252.439,54.56000137,10.59417502,53.265,11.519,0.266,0.59
2018-09-19,0.0192,252.439,54.59249878,10.6004852,53.265,11.519,0.266,0.59
2018-09-20,0.0192,252.439,55.00749969,10.6810679,53.265,11.519,0.266,0.59
2018-09-21,0.0192,252.439,54.41500092,10.5660196,53.265,11.519,0.266,0.59
2018-09-24,0.0193,252.439,55.19749832,10.71796084,53.265,11.519,0.266,0.59
2018-09-25,0.0193,252.439,55.54750061,10.78592245,53.265,11.519,0.266,0.59
2018-09-26,0.0193,252.439,55.10499954,10.69999991,53.265,11.519,0.266,0.59
2018-09-27,0.0218,252.439,56.23749924,10.91990276,53.265,11.519,0.266,0.59
2018-09-28,0.0218,252.439,56.43500137,10.95825269,62.9,14.125,0.2669,0.74
2018-10-01,0.0218,252.885,56.81499863,11.03203857,62.9,14.125,0.2669,0.74
2018-10-02,0.0218,252.885,57.31999969,11.13009703,62.9,14.125,0.2669,0.74
2018-10-03,0.0218,252.885,58.01750183,11.26553434,62.9,14.125,0.2669,0.74
