Date,Close,EPS,PE
,,0.52,
,,0.97,
,,0.68,
2018-06-12,48.06999969,2.98,9.333980523
2018-06-13,47.67499924,2.98,9.257281405
2018-06-14,47.70000076,2.98,9.26213607
2018-06-15,47.20999908,2.98,9.166990113
2018-06-18,47.18500137,2.98,9.162136189
2018-06-19,46.42250061,2.98,9.014077788
2018-06-20,46.625,2.98,9.053398058
2018-06-21,46.36500168,2.98,9.002912947
2018-06-22,46.22999954,2.98,8.97669894
2018-06-25,45.54249954,2.98,8.843203795
2018-06-26,46.10749817,2.98,8.952912266
2018-06-27,46.04000092,2.98,8.939806003
2018-06-28,46.375,2.98,9.004854369
2018-06-29,46.27750015,2.98,8.98592236
2018-07-02,46.79499817,2.98,9.086407411
2018-07-03,45.97999954,2.98,8.928155251
2018-07-05,46.34999847,2.98,8.999999704
2018-07-06,46.99250031,2.98,9.124757341
2018-07-09,47.64500046,2.98,9.2514564
2018-07-10,47.58750153,2.98,9.240291558
2018-07-11,46.97000122,2.98,9.120388587
2018-07-12,47.75749969,2.98,9.273300912
2018-07-13,47.83250046,2.98,9.287864167
2018-07-16,47.72750092,2.98,9.267475906
2018-07-17,47.86249924,2.98,9.293689172
2018-07-18,47.59999847,2.98,9.24271815
2018-07-19,47.97000122,2.98,9.314563344
2018-07-20,47.86000061,2.98,9.293204002
2018-07-23,47.90250015,2.98,9.30145634
2018-07-24,48.25,2.98,9.368932039
2018-07-25,48.70500183,2.98,9.457281909
2018-07-26,48.55250168,2.98,9.427670229
2018-07-27,47.74499893,2.98,9.270873579
2018-07-30,47.47750092,2.98,9.218932217
2018-07-31,47.57249832,2.98,9.237378315
2018-08-01,50.375,2.98,9.781553398
2018-08-02,51.84749985,2.98,10.0674757
2018-08-03,51.99750137,2.98,10.09660221
2018-08-06,52.26750183,2.98,10.14902948
2018-08-07,51.77750015,2.98,10.05388352
2018-08-08,51.8125,2.98,10.06067961
2018-08-09,52.22000122,2.98,10.13980606
2018-08-10,51.88249969,2.98,10.07427179
2018-08-13,52.21749878,2.98,10.13932015
2018-08-14,52.4375,2.98,10.18203883
2018-08-15,52.56000137,2.98,10.20582551
2018-08-16,53.33000183,2.98,10.35534016
2018-08-17,54.39500046,2.98,10.56213601
2018-08-20,53.86500168,2.98,10.45922363
2018-08-21,53.75999832,2.98,10.43883463
2018-08-22,53.76250076,2.98,10.43932054
2018-08-23,53.87250137,2.98,10.46067988
2018-08-24,54.04000092,2.98,10.49320406
2018-08-27,54.48500061,2.98,10.57961177
2018-08-28,54.92499924,2.98,10.6650484
2018-08-29,55.74499893,2.98,10.82427164
2018-08-30,56.25749969,2.98,10.92378635
2018-08-31,56.90750122,2.98,11.05000024
2018-09-04,57.09000015,2.98,11.08543692
2018-09-05,56.71749878,2.98,11.01310656
2018-09-06,55.77500153,2.98,10.83009738
2018-09-07,55.32500076,2.98,10.74271859
2018-09-10,54.58250046,2.98,10.59854378
2018-09-11,55.96250153,2.98,10.86650515
2018-09-12,55.26750183,2.98,10.73155375
2018-09-13,56.60250092,2.98,10.99077688
2018-09-14,55.95999908,2.98,10.86601924
2018-09-17,54.47000122,2.98,10.57669927
2018-09-18,54.56000137,2.98,10.59417502
2018-09-19,54.59249878,2.98,10.6004852
2018-09-20,55.00749969,2.98,10.6810679
2018-09-21,54.41500092,2.98,10.5660196
2018-09-24,55.19749832,2.98,10.71796084
2018-09-25,55.54750061,2.98,10.78592245
2018-09-26,55.10499954,2.98,10.69999991
2018-09-27,56.23749924,2.98,10.91990276
2018-09-28,56.43500137,2.98,10.95825269
2018-10-01,56.81499863,2.98,11.03203857
2018-10-02,57.31999969,2.98,11.13009703
2018-10-03,58.01750183,2.98,11.26553434
2018-10-04,56.99750137,2.98,11.06747599
2018-10-05,56.07249832,2.98,10.88786375
2018-10-08,55.94250107,2.98,10.86262157
2018-10-09,56.71749878,2.98,11.01310656
2018-10-10,54.09000015,2.98,10.50291265
2018-10-11,53.61249924,2.98,10.41019403
2018-10-12,55.52750015,2.98,10.78203886
2018-10-15,54.34000015,2.98,10.55145634
2018-10-16,55.53749847,2.98,10.78398029
2018-10-17,55.29750061,2.98,10.73737876
2018-10-18,54.00500107,2.98,10.48640797
2018-10-19,54.82749939,2.98,10.64611639
2018-10-22,55.16249847,2.98,10.71116475
